time_step,v_raw,v_float
11085, -4676,-1.141602
11095, -4669,-1.139893
11105, -4662,-1.138184
11115, -4655,-1.136475
11125, -4648,-1.134766
11135, -4641,-1.133057
11145, -4634,-1.131348
11155, -4627,-1.129639
11165, -4620,-1.127930
11175, -4613,-1.126221
11185, -4606,-1.124512
11195, -4599,-1.122803
11205, -4592,-1.121094
11215, -4585,-1.119385
11225, -4578,-1.117676
11235, -4571,-1.115967
11245, -4564,-1.114258
11255, -4557,-1.112549
11265, -4550,-1.110840
11275, -4543,-1.109131
11285, -4536,-1.107422
11295, -4529,-1.105713
11305, -4522,-1.104004
11315, -4515,-1.102295
11325, -4508,-1.100586
11335, -4501,-1.098877
11345, -4494,-1.097168
11355, -4487,-1.095459
11365, -4480,-1.093750
11375, -4473,-1.092041
11385, -4466,-1.090332
11395, -4459,-1.088623
11405, -4452,-1.086914
11415, -4445,-1.085205
11425, -4438,-1.083496
11435, -4431,-1.081787
11445, -4424,-1.080078
11455, -4417,-1.078369
